values,white_win,white_win_top,white_win_bottom,black_win,black_win_top,black_win_bottom,draw,draw_bottom,draw_top
900,0.19230769230769232,0.28846153846153844,0.09615384615384616,0.8076923076923077,0.9038461538461539,0.6923076923076923,0,0,0
1000,0.2608695652173913,0.32608695652173914,0.1956521739130435,0.7010869565217391,0.7661662767891005,0.6358695652173914,0.03804347826086957,0.010869565217391304,0.06521739130434782
1100,0.32710280373831774,0.37383177570093457,0.2850467289719626,0.633177570093458,0.6799065420560748,0.5841121495327103,0.0397196261682243,0.02102803738317757,0.06074766355140187
1200,0.3762597984322508,0.40985442329227323,0.3449048152295633,0.58006718924972,0.6114221724524076,0.5487122060470325,0.043673012318029114,0.030235162374020158,0.05823068309070549
1300,0.40414507772020725,0.4292928163798627,0.37825714661051485,0.5558845299777943,0.5832716506291635,0.5314581791265729,0.03997039230199852,0.031088082901554404,0.05105447441095079
1400,0.469459868753155,0.49115325337162774,0.447753659767794,0.49469964664310956,0.5174154467440687,0.47149187535123954,0.035840484603735484,0.027763755678950026,0.04442200908632004
1500,0.49912280701754386,0.5210526315789473,0.4780701754385965,0.4614035087719298,0.48332219075841865,0.44166666666666665,0.039473684210526314,0.03159008994333576,0.04736842105263158
1600,0.49621432731508447,0.5136792646852635,0.4787493899449055,0.4569015725101922,0.4737840986980764,0.4394292370413512,0.046301688992428654,0.03990256408584902,0.05358182877111241
1700,0.5284191829484902,0.5497335701598579,0.5079928952042628,0.4302841918294849,0.4533747779751332,0.40898108573303976,0.04129662522202487,0.03330373001776199,0.049289520426287745
1800,0.5314512134720158,0.5542347696879644,0.5091881179502779,0.4239722634967806,0.4447620579144103,0.4021792966815255,0.04457652303120357,0.03566121842496285,0.05349182763744428
1900,0.525027808676307,0.5483870967741935,0.5005561735261401,0.42102335928809786,0.44382647385984425,0.3999028949225837,0.05339265850945495,0.04338153503893215,0.06395995550611791
2000,0.5347280334728034,0.5631799163179916,0.5054605900174105,0.3899581589958159,0.41841004184100417,0.36150627615062764,0.07531380753138076,0.0602510460251046,0.09121338912133892
2100,0.5416666666666666,0.5790229885057471,0.5014367816091954,0.4109195402298851,0.4468390804597701,0.3735632183908046,0.047413793103448273,0.033045977011494254,0.06465517241379311
2200,0.6384297520661157,0.6776859504132231,0.5971074380165289,0.29545454545454547,0.33884297520661155,0.25413223140495866,0.06611570247933884,0.045454545454545456,0.08677685950413223
2300,0.6855524079320113,0.7337110481586402,0.6345609065155807,0.24362606232294617,0.28611898016997167,0.19830028328611898,0.0708215297450425,0.0453257790368272,0.09631728045325778
2400,0.7083333333333334,0.7916666666666666,0.6145833333333334,0.1875,0.2708333333333333,0.11458333333333333,0.10416666666666667,0.052083333333333336,0.16666666666666666
2500,0.7027027027027027,0.8108108108108109,0.5945945945945946,0.16216216216216217,0.24324324324324326,0.08108108108108109,0.13513513513513514,0.06756756756756757,0.21621621621621623
2600,0.8333333333333334,1,0.5833333333333334,0.08333333333333333,0.25,0,0.08333333333333333,0,0.25
2700,0.7857142857142857,0.9285714285714286,0.6071428571428571,0.21428571428571427,0.39285714285714285,0.07142857142857142,0,0,0
