values,white_win,white_win_top,white_win_bottom,black_win,black_win_top,black_win_bottom,draw,draw_bottom,draw_top
10,0.5692821368948247,0.6060100166944908,0.5275459098497496,0.3739565943238731,0.41231151073321287,0.333889816360601,0.05676126878130217,0.04006677796327212,0.07679465776293823
20,0.5749506903353058,0.6035502958579881,0.5433925049309665,0.38461538461538464,0.41420118343195267,0.35404339250493094,0.04043392504930966,0.028624659833141542,0.054240631163708086
30,0.5432926829268293,0.5664634146341463,0.5158536585365854,0.4274390243902439,0.4530487804878049,0.40245451528707654,0.028658536585365855,0.020731707317073172,0.03719512195121951
40,0.5368834570056744,0.5573985159319075,0.5146335246926257,0.4391095591444784,0.45961352899572,0.4190420799086885,0.02357049323439546,0.01747071369306221,0.030117852466171977
50,0.5243304413428895,0.5431912485854394,0.5058564334480594,0.4575631837042625,0.47831007167106754,0.43870237646171256,0.018106374952847983,0.013202565069784986,0.023755033922744067
60,0.49669117647058825,0.5161764705882353,0.47941176470588237,0.4838235294117647,0.5025735294117647,0.46433823529411766,0.01948529411764706,0.014705882352941176,0.025
70,0.48830935251798563,0.5094424460431655,0.46717625899280574,0.4847122302158273,0.5058339005976594,0.46492805755395683,0.02697841726618705,0.020233812949640287,0.03327338129496403
80,0.47461629279811096,0.49880436536552214,0.45042822023069984,0.4911452184179457,0.5153332909853569,0.46695714585053455,0.03364817001180637,0.024793388429752067,0.043078273275793694
90,0.48699763593380613,0.5145784081954294,0.4586488613639129,0.46099290780141844,0.48778565799842394,0.43341213553979513,0.05200945626477541,0.04097714736012608,0.06461780929866036
100,0.44154488517745305,0.4728336063979066,0.4102296450939457,0.48434237995824636,0.5177453027139874,0.45407098121085593,0.07411273486430063,0.059498956158663886,0.0918580375782881
110,0.4623513870541612,0.4953764861294584,0.42800528401585203,0.4240422721268164,0.45970937912813736,0.38969616908850724,0.11360634081902246,0.09114927344782034,0.13738441215323646
120,0.4165341812400636,0.4546899841017488,0.3799682034976153,0.43720190779014306,0.4753577106518283,0.3990461049284579,0.14626391096979333,0.1192368839427663,0.1748403734963347
130,0.4164588528678304,0.46633416458852867,0.3690773067331671,0.4463840399002494,0.4937655860349127,0.3940149625935162,0.1371571072319202,0.10723192019950124,0.17206982543640897
140,0.3674911660777385,0.4275618374558304,0.31095406360424027,0.4416961130742049,0.49823321554770317,0.38515901060070673,0.19081272084805653,0.14487632508833923,0.24028268551236748
150,0.4371584699453552,0.5081967213114754,0.366120218579235,0.3989071038251366,0.46994535519125685,0.3333333333333333,0.16393442622950818,0.11475409836065574,0.2185792349726776
160,0.3722627737226277,0.45985401459854014,0.291970802919708,0.4744525547445255,0.5620437956204379,0.39416058394160586,0.15328467153284672,0.09507594942193812,0.21897810218978103
170,0.3088235294117647,0.4117647058823529,0.20588235294117646,0.45588235294117646,0.5878616901352135,0.3382352941176471,0.23529411764705882,0.14705882352941177,0.3382352941176471
180,0.3958333333333333,0.5416666666666666,0.2708333333333333,0.375,0.5208333333333334,0.22916666666666666,0.22916666666666666,0.10416666666666667,0.3541666666666667
190,0.3157894736842105,0.5263157894736842,0.10526315789473684,0.42105263157894735,0.631578947368421,0.21052631578947367,0.2631578947368421,0.10526315789473684,0.47368421052631576
210,0.25,0.5,0,0.25,0.5,0,0.5,0.25,0.75
