values,white_win,white_win_top,white_win_bottom,black_win,black_win_top,black_win_bottom,draw,draw_bottom,draw_top
-1000,0.03333333333333333,0.1,0,0.9666666666666667,1,0.9,0,0,0
-900,0.0625,0.125,0,0.8958333333333334,0.9791666666666666,0.8125,0.041666666666666664,0,0.10416666666666667
-800,0.10126582278481013,0.17721518987341772,0.0379746835443038,0.8607594936708861,0.9367088607594937,0.7848101265822784,0.0379746835443038,0,0.08860759493670886
-700,0.17266187050359713,0.23741007194244604,0.1079136690647482,0.8057553956834532,0.8705035971223022,0.7410071942446043,0.02158273381294964,0,0.050359712230215826
-600,0.15354330708661418,0.1968503937007874,0.1141732283464567,0.8267716535433071,0.8740157480314961,0.7795275590551181,0.01968503937007874,0.003937007874015748,0.03937007874015748
-500,0.18251928020565553,0.2210796915167095,0.14145348347250777,0.7917737789203085,0.83541026974086,0.7506426735218509,0.02570694087403599,0.012853470437017995,0.04113110539845758
-400,0.19060773480662985,0.21823204419889503,0.16298342541436464,0.7790055248618785,0.8080110497237569,0.7458563535911602,0.03038674033149171,0.017955801104972375,0.044163805150821155
-300,0.2601880877742947,0.28524654775015246,0.23510971786833856,0.6943573667711599,0.7186520376175548,0.6692789968652038,0.045454545454545456,0.034482758620689655,0.05721003134796238
-200,0.3455643288434742,0.3655246609053388,0.32559219693450997,0.6028797027403623,0.6247097073850442,0.5819904343106389,0.05155596841616349,0.042731072921504874,0.06130980027868091
-100,0.44710211591536336,0.4618156842063465,0.4321585568240123,0.4965501379944802,0.5110337154850952,0.48068661570165716,0.05634774609015639,0.04944802207911683,0.06301747930082796
0,0.5317667536988686,0.5463391198714522,0.5176240208877284,0.4171018276762402,0.4316686662006939,0.4016536118363795,0.050478677110530897,0.04395678961505777,0.05700056460600403
100,0.6367521367521367,0.6572649572649573,0.618386925243934,0.31965811965811963,0.337595980738972,0.30085470085470084,0.04358974358974359,0.03504273504273504,0.05128205128205128
200,0.7456993268511594,0.7696335078534031,0.7217651458489155,0.2131637995512341,0.23635003739715782,0.19149244956679545,0.04113687359760658,0.03216155572176515,0.05235602094240838
300,0.781127129750983,0.8099606815203145,0.7522935779816514,0.18872870249017037,0.21756225425950196,0.16120576671035386,0.03014416775884666,0.01834862385321101,0.04325032765399738
400,0.8214285714285714,0.8550420168067226,0.7857142857142857,0.1323529411764706,0.1638655462184874,0.10084033613445378,0.046218487394957986,0.0273109243697479,0.06512605042016807
500,0.8461538461538461,0.8846153846153846,0.8006993006993007,0.11188811188811189,0.15384615384615385,0.07692307692307693,0.04195804195804196,0.02097902097902098,0.06643356643356643
600,0.851063829787234,0.9078014184397163,0.7872340425531915,0.1276595744680851,0.18439716312056736,0.07801418439716312,0.02127659574468085,0,0.04964539007092199
700,0.8369565217391305,0.9021739130434783,0.7608695652173914,0.09782608695652174,0.16304347826086957,0.043478260869565216,0.06521739130434782,0.021739130434782608,0.11956521739130435
800,0.9565217391304348,1,0.8913043478260869,0.021739130434782608,0.06521739130434782,0,0.021739130434782608,0,0.06521739130434782
900,0.925,1,0.825,0.05,0.125,0,0.025,0,0.075
1000,0.875,1,0.6875,0.0625,0.1875,0,0.0625,0,0.1875
