"","values","white_win","white_win_top","white_win_bottom","black_win","black_win_top","black_win_bottom","draw","draw_bottom","draw_top"
"1",10,0.569282136894825,0.607679465776294,0.529215358931553,0.373956594323873,0.415650408896819,0.335601677914533,0.0567612687813022,0.0383973288814691,0.0784216943726119
"2",20,0.574950690335306,0.606508875739645,0.54243136594754,0.384615384615385,0.415162322415379,0.354043392504931,0.0404339250493097,0.0285996055226824,0.0522682445759369
"3",30,0.543292682926829,0.568292682926829,0.520731707317073,0.427439024390244,0.45181377739585,0.401844759189516,0.0286585365853659,0.0207317073170732,0.0371951219512195
"4",40,0.536883457005674,0.557835006547359,0.516368398079441,0.439109559144478,0.45918812745526,0.419030990833697,0.0235704932343955,0.0178961152335225,0.030117852466172
"5",50,0.52433044134289,0.543558881527421,0.504337985665786,0.457563183704263,0.476423990946813,0.439843608099134,0.018106374952848,0.0128349321278029,0.023387400980762
"6",60,0.496691176470588,0.512867647058823,0.478676470588235,0.483823529411765,0.504044117647059,0.464705882352941,0.0194852941176471,0.0147058823529412,0.025
"7",70,0.488309352517986,0.509431022899818,0.468536602999463,0.484712230215827,0.504046762589928,0.464478417266187,0.026978417266187,0.0206834532374101,0.0341612387271558
"8",80,0.474616292798111,0.499985002909796,0.45159386068477,0.491145218417946,0.514152653441083,0.468137783394808,0.0336481700118064,0.025383707201889,0.0425029515938607
"9",90,0.486997635933806,0.516942474389283,0.457880859055643,0.460992907801418,0.488573680063042,0.432684172744221,0.0520094562647754,0.0401891252955083,0.0638297872340425
"10",100,0.441544885177453,0.471816283924843,0.411273486430063,0.484342379958246,0.515657620041754,0.450965976065559,0.0741127348643006,0.0574112734864301,0.0907876773791174
"11",110,0.462351387054161,0.496663929893256,0.428038844215067,0.424042272126816,0.458388375165125,0.389696169088507,0.113606340819022,0.0911492734478203,0.137384412153236
"12",120,0.416534181240064,0.456279809220986,0.378378378378378,0.437201907790143,0.476907146151343,0.399046104928458,0.146263910969793,0.117647058823529,0.174880763116057
"13",130,0.41645885286783,0.463840399002494,0.366583541147132,0.446384039900249,0.496259351620948,0.399002493765586,0.13715710723192,0.104738154613466,0.169576059850374
"14",140,0.367491166077739,0.42756183745583,0.31095406360424,0.441696113074205,0.501766784452297,0.3886925795053,0.190812720848057,0.144876325088339,0.240282685512367
"15",150,0.437158469945355,0.508057895787948,0.366120218579235,0.398907103825137,0.475409836065574,0.327868852459016,0.163934426229508,0.109289617486339,0.218579234972678
"16",160,0.372262773722628,0.445255474452555,0.291970802919708,0.474452554744526,0.561858357147405,0.386861313868613,0.153284671532847,0.0948905109489051,0.211678832116788
"17",170,0.308823529411765,0.411764705882353,0.191176470588235,0.455882352941176,0.573529411764706,0.338235294117647,0.235294117647059,0.147058823529412,0.352567572488155
"18",180,0.395833333333333,0.541666666666667,0.250529272308448,0.375,0.520833333333333,0.25,0.229166666666667,0.125,0.354166666666667
"19",190,0.315789473684211,0.526315789473684,0.105263157894737,0.421052631578947,0.631578947368421,0.210526315789474,0.263157894736842,0.105263157894737,0.473684210526316
"20",210,0.25,0.5,0,0.25,0.5,0.00211708923379355,0.5,0.25,0.831216244099543
